,Date_format,IsOfficialReport,Latitude,Longitude,震度,YouWin
684,2020-06-14 04:20:48,0.0,25.048,121.532,,0.0
685,2020-06-14 04:20:49,0.0,25.048,121.532,,0.0
686,2020-06-14 04:21:01,0.0,25.048,121.532,,0.0
687,2020-06-14 04:21:01,0.0,25.048,121.532,,0.0
688,2020-06-14 04:21:13,0.0,24.147,120.684,,0.0
689,2020-06-14 04:21:18,0.0,24.994,121.297,,0.0
690,2020-06-14 04:21:27,0.0,25.048,121.532,,0.0
691,2020-06-14 04:21:38,0.0,24.807,120.971,,0.0
692,2020-06-14 04:23:10,0.0,25.048,121.532,,0.0
693,2020-06-14 04:23:10,0.0,25.048,121.532,,0.0
694,2020-06-14 04:23:36,0.0,25.048,121.532,,0.0
695,2020-06-14 04:23:36,0.0,25.048,121.532,,0.0
696,2020-06-14 04:24:37,0.0,28.012,-82.58200000000002,,0.0
697,2020-06-14 04:24:37,0.0,25.048,121.532,,0.0
698,2020-06-14 04:25:32,0.0,25.048,121.532,,0.0
699,2020-06-14 04:25:32,0.0,,,,0.0
700,2020-06-14 04:27:09,0.0,25.048,121.532,,0.0
701,2020-06-14 04:27:09,0.0,,,,0.0
712,2020-06-17 07:17:00,1.0,24.62,121.98,3.0,
713,2020-06-17 07:17:37,0.0,25.048,121.532,,1.0
714,2020-06-17 07:17:51,0.0,25.048,121.532,,0.0
715,2020-06-17 07:17:51,0.0,25.048,121.532,,0.0
716,2020-06-17 07:17:52,0.0,25.048,121.532,,0.0
717,2020-06-17 07:18:00,0.0,24.147,120.684,,0.0
718,2020-06-17 07:18:05,0.0,24.147,120.684,,0.0
719,2020-06-17 07:18:10,0.0,25.048,121.532,,0.0
720,2020-06-17 07:18:12,0.0,25.048,121.532,,0.0
721,2020-06-17 07:18:17,0.0,25.048,121.532,,0.0
722,2020-06-17 07:18:48,0.0,25.048,121.532,,0.0
