編號,地震時間,經度,緯度,規模,深度,位置,震度
22,2012/1/1 01:41,121.63,23.96,2.7,9.3,花蓮縣政府南方  3.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/1 10:30,122.37,25.32,5.6,264.7,基隆市政府東偏北方  66.4  公里 (位於台灣東北部海域)(台灣東北部海域),2
小區域有感地震,2012/1/1 18:46,121.62,24.01,2.9,9.1,花蓮縣政府北方  1.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),3
小區域有感地震,2012/1/1 18:47,121.62,24.01,2.5,9.1,花蓮縣政府北方  1.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/1 22:23,121.63,24.01,2.6,8.2,花蓮縣政府北偏東方  2.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/4 11:35,120.61,23.77,3,21.4,雲林縣政府東北方  11.6  公里 (位於雲林縣林內鄉)(雲林縣林內鄉),1
小區域有感地震,2012/1/4 14:53,121.62,23.96,2.8,8.5,花蓮縣政府南方  3.1  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/4 14:53,121.61,23.97,2.6,8.2,花蓮縣政府南偏西方  2.7  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/4 14:56,121.95,24.39,3.3,19.6,宜蘭縣政府南偏東方  41.8  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/1/4 14:59,121.6,23.96,2.1,5.7,花蓮縣政府西南方  3.9  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),1
小區域有感地震,2012/1/4 17:17,121.62,23.96,2.8,7.6,花蓮縣政府南方  3.4  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/4 21:21,121.59,23.95,2.2,5.6,花蓮縣政府西南方  4.9  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),1
21,2012/1/4 21:22,121.63,23.95,3.7,8.5,花蓮縣政府南方  4.6  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/4 21:24,121.61,23.95,2.5,6.5,花蓮縣政府南偏西方  4.3  公里 (位於花蓮縣近海)(花蓮縣近海),2
20,2012/1/4 22:41,122.2,24.89,5,124.3,宜蘭縣政府東偏北方  47.4  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/1/4 22:42,121.57,23.26,4.2,38,台東縣政府東北方  71.0  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/1/5 02:36,121.42,23.76,2.9,22.5,花蓮縣政府西南方  32.8  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮),2
小區域有感地震,2012/1/5 09:48,120.46,24.05,2.9,23.7,彰化縣政府西偏南方  9.1  公里 (位於彰化縣福興鄉)(彰化縣福興鄉),1
小區域有感地震,2012/1/5 10:30,121.94,23.56,4.2,21.3,花蓮縣政府東南方  57.6  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/1/5 23:45,121.66,23.9,3.2,24.4,花蓮縣政府南偏東方  11.0  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2012/1/6 00:32,121.1,23.96,3.7,11.1,南投縣政府東方  42.5  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉),2
小區域有感地震,2012/1/7 05:40,121.43,22.98,3.2,12.9,台東縣政府東北方  38.5  公里 (位於台灣東部海域)(台灣東部海域),2
19,2012/1/9 11:40,120.42,22.4,3.5,30.4,高雄市政府南偏東方  27.0  公里 (位於屏東縣近海)(屏東縣近海),2
小區域有感地震,2012/1/9 12:26,121.74,24.22,3.3,14.2,花蓮縣政府北偏東方  27.9  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/9 12:27,122.22,24.07,4.9,18.2,花蓮縣政府東方  61.3  公里 (位於台灣東部海域)(台灣東部海域),1
小區域有感地震,2012/1/9 12:28,120.61,22.98,3.5,16.1,屏東縣政府北偏東方  34.6  公里 (位於高雄市杉林區)(高雄市杉林區),2
18,2012/1/9 14:16,122.05,24.52,4.4,13.8,宜蘭縣政府東南方  37.2  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/1/9 14:17,121.73,24.23,3.2,11,花蓮縣政府北偏東方  28.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
17,2012/1/9 15:07,120.62,23.51,4.2,9.1,嘉義市政府東方  17.5  公里 (位於嘉義縣竹崎鄉)(嘉義縣竹崎鄉),3
16,2012/1/9 17:33,122.09,24.91,4.1,12.2,宜蘭縣政府東偏北方  38.5  公里 (位於台灣東部海域)(台灣東部海域),2
15,2012/1/9 17:34,121.6,23.98,3,8.1,花蓮縣政府西南方  2.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),3
小區域有感地震,2012/1/9 21:26,121.73,24.24,3,9.9,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/10 09:26,121.73,24.23,3.3,11.1,花蓮縣政府北偏東方  29.4  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/10 09:26,120.9,23.84,3.4,16.1,南投縣政府東偏南方  22.3  公里 (位於南投縣魚池鄉)(南投縣魚池鄉),2
小區域有感地震,2012/1/10 09:27,121.59,24,2.2,7.4,花蓮縣政府西偏北方  3.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
14,2012/1/10 15:41,121.92,24.41,4.3,20.4,宜蘭縣政府南偏東方  38.7  公里 (位於台灣東部海域)(台灣東部海域),5
13,2012/1/10 16:00,121.81,24.41,3.3,12.6,宜蘭縣政府南方  35.8  公里 (位於宜蘭縣近海)(宜蘭縣近海),4
小區域有感地震,2012/1/10 17:34,121.75,24.81,3.7,88.4,宜蘭縣政府北方  9.1  公里 (位於宜蘭縣礁溪鄉)(宜蘭縣礁溪鄉),1
小區域有感地震,2012/1/10 20:44,121.61,24.01,2.4,7.9,花蓮縣政府北偏西方  2.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
小區域有感地震,2012/1/10 20:53,121.73,24.23,2.9,11.2,花蓮縣政府北偏東方  29.0  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/10 20:53,121.62,24.01,2.5,5.9,花蓮縣政府北方  2.6  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
12,2012/1/11 01:42,121.74,24.23,3.6,12.4,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/11 01:42,121.73,24.23,3.4,11.4,花蓮縣政府北偏東方  28.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/11 02:21,121.73,24.24,3.3,12.4,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/11 04:55,121.73,24.23,3.3,10.6,花蓮縣政府北偏東方  28.8  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/11 10:17,121.74,24.24,3.2,13.1,花蓮縣政府北偏東方  29.8  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/11 18:03,121.72,24.23,3,10.3,花蓮縣政府北偏東方  28.8  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/11 18:45,121.6,23.96,2.9,7.6,花蓮縣政府南偏西方  4.0  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),2
小區域有感地震,2012/1/12 02:11,121.61,24,2.6,7.4,花蓮縣政府北偏西方  1.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/12 21:22,121.62,24,2.2,8.4,花蓮縣政府北偏西方  1.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
小區域有感地震,2012/1/12 21:44,121.91,24.43,3.7,20.2,宜蘭縣政府南偏東方  36.6  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/1/13 11:12,121.6,24,2.1,7.5,花蓮縣政府西偏北方  2.1  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
小區域有感地震,2012/1/13 12:41,121.62,24,2.6,6.9,花蓮縣政府北方  1.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/13 12:42,121.6,24.02,2.1,6,花蓮縣政府西北方  3.5  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉),1
小區域有感地震,2012/1/13 12:43,121.63,24.01,2.8,6.2,花蓮縣政府東北方  2.4  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/13 12:53,121.61,24,2.6,7.3,花蓮縣政府北偏西方  1.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
小區域有感地震,2012/1/13 18:40,121.64,23.96,2.4,7.7,花蓮縣政府南偏東方  3.6  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2012/1/13 22:06,120.58,23.38,3,15.6,嘉義市政府東南方  17.8  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉),1
小區域有感地震,2012/1/14 02:46,121.62,24.01,2.4,8.8,花蓮縣政府北偏西方  1.6  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
小區域有感地震,2012/1/14 16:16,121.61,23.98,2.5,8.4,花蓮縣政府西南方  1.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),3
小區域有感地震,2012/1/15 01:11,121.61,23.99,2.3,7.9,花蓮縣政府西南方  1.0  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/15 07:55,121.63,23.98,2.6,7.8,花蓮縣政府東南方  1.4  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/15 08:17,121.63,24.01,2.9,7.6,花蓮縣政府北偏東方  2.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/15 08:56,121.75,24.42,2.9,26,宜蘭縣政府南方  34.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),2
小區域有感地震,2012/1/15 09:18,121.41,24.1,3,7.3,花蓮縣政府西偏北方  24.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2012/1/16 05:58,121.61,24.01,2.2,7.9,花蓮縣政府北偏西方  2.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
小區域有感地震,2012/1/16 05:59,121.6,24.02,2.7,8.9,花蓮縣政府西北方  3.6  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉),2
小區域有感地震,2012/1/16 06:27,121.58,24.02,2.2,7.1,花蓮縣政府西北方  4.5  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉),1
小區域有感地震,2012/1/16 09:40,121.61,24.03,2.7,5.5,花蓮縣政府北偏西方  4.1  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉),2
11,2012/1/16 10:51,121.6,23.99,3.4,8,花蓮縣政府西方  2.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),3
小區域有感地震,2012/1/16 12:11,120.85,22.67,3.1,8.8,台東縣政府西偏南方  31.8  公里 (位於台東縣卑南鄉)(台東縣卑南鄉),3
小區域有感地震,2012/1/16 17:55,122.76,24.53,4.8,90,宜蘭縣政府東偏南方  103.1  公里 (位於台灣東部海域)(台灣東部海域),1
10,2012/1/16 20:17,121.61,23.97,2.9,8.8,花蓮縣政府南偏西方  2.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/16 23:38,121.54,24,2.4,6.8,花蓮縣政府西方  8.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
9,2012/1/17 06:02,121.63,23.97,3,8.6,花蓮縣政府南偏東方  2.0  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/17 12:58,121.62,24.02,2.4,8.1,花蓮縣政府北方  3.0  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
小區域有感地震,2012/1/17 20:25,121.36,22.05,3.5,15.6,台東縣政府南偏東方  80.9  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/1/18 14:36,121.6,23.99,3,8.1,花蓮縣政府西方  2.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),3
8,2012/1/18 14:57,121.63,24,3.4,8.1,花蓮縣政府北偏東方  1.6  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),3
7,2012/1/19 06:52,121.63,23.99,3.2,9,花蓮縣政府東方  1.0  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/20 06:06,121.61,23.99,2.9,8.9,花蓮縣政府西方  1.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/20 08:20,121.63,24,2.8,9.9,花蓮縣政府東北方  1.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/21 08:50,121.58,24,3,6.3,花蓮縣政府西偏北方  4.4  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
6,2012/1/21 15:45,121.63,23.99,4.2,8.2,花蓮縣政府東偏北方  .8  公里 (位於花蓮縣近海)(花蓮縣近海),4
小區域有感地震,2012/1/21 23:39,121.61,23.99,2.6,8.7,花蓮縣政府西偏北方  1.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
5,2012/1/22 23:28,120.49,23.13,3.7,13.7,台南市政府東偏北方  34.4  公里 (位於台南市楠西區)(台南市楠西區),3
小區域有感地震,2012/1/23 16:54,121.84,24.23,3.2,21.9,花蓮縣政府東北方  35.3  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/1/24 16:01,121.59,23.96,2.6,9.2,花蓮縣政府西南方  4.5  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),2
4,2012/1/24 18:26,120.62,23.54,3.3,8.8,嘉義市政府東偏北方  17.7  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉),2
小區域有感地震,2012/1/24 23:26,121.59,23.98,2.2,8.5,花蓮縣政府西偏南方  3.8  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),1
小區域有感地震,2012/1/25 01:56,121.79,24.44,1.4,9.6,宜蘭縣政府南方  32.6  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮),3
小區域有感地震,2012/1/25 10:05,121.54,23.98,2.5,4.6,花蓮縣政府西方  8.5  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),2
小區域有感地震,2012/1/25 16:36,121.61,23.97,2.6,8.1,花蓮縣政府南偏西方  3.2  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/26 23:16,121.59,23.98,2.4,9.4,花蓮縣政府西偏南方  3.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
3,2012/1/26 23:16,121.59,23.97,3,7.2,花蓮縣政府西南方  4.4  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),3
小區域有感地震,2012/1/26 23:18,121.6,23.95,2.4,9,花蓮縣政府南偏西方  5.1  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),2
小區域有感地震,2012/1/27 00:30,121.65,24.33,3.6,24,花蓮縣政府北方  37.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
2,2012/1/27 00:40,121.6,23.97,4.7,7.4,花蓮縣政府西南方  2.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),4
小區域有感地震,2012/1/27 09:55,121.59,23.97,2.2,7.8,花蓮縣政府西偏南方  3.5  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),2
1,2012/1/28 10:52,121.6,23.96,3.8,8.9,花蓮縣政府南偏西方  3.7  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),4
小區域有感地震,2012/1/28 14:45,121.58,23.98,2.7,8.3,花蓮縣政府西偏南方  3.8  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),1
小區域有感地震,2012/1/28 14:58,121.6,23.98,2.2,7.5,花蓮縣政府西偏南方  3.0  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/29 06:35,121.72,24.45,4.1,56,宜蘭縣政府南方  31.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),2
小區域有感地震,2012/1/29 06:40,120.91,23.18,3,2,台東縣政府北偏西方  52.8  公里 (位於台東縣海端鄉)(台東縣海端鄉),3
小區域有感地震,2012/1/29 08:50,120.91,23.17,3.1,2,台東縣政府北偏西方  52.5  公里 (位於台東縣海端鄉)(台東縣海端鄉),3
小區域有感地震,2012/1/29 16:07,121.62,23.66,3.5,31,花蓮縣政府南方  37.0  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/30 07:47,121.94,24.47,3,13.1,宜蘭縣政府東南方  34.0  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/2/3 10:27,121.7,24.14,2.6,11.4,花蓮縣政府北偏東方  18.4  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2012/2/4 10:54,121.28,23.19,3.4,10.4,台東縣政府北偏東方  50.4  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉),2
小區域有感地震,2012/2/6 00:25,121.27,23.19,3.6,10.8,台東縣政府北偏東方  49.5  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉),3
小區域有感地震,2012/2/6 11:48,121.75,24.27,3,15.2,花蓮縣政府北偏東方  34.2  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/2/6 18:06,121.46,24.32,2.9,5.5,花蓮縣政府北偏西方  40.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2012/2/6 18:40,120.44,22.47,2.9,28.2,高雄市政府東南方  21.5  公里 (位於屏東縣東港鎮)(屏東縣東港鎮),2
小區域有感地震,2012/2/6 20:36,120.45,22.51,2.9,27,高雄市政府東南方  18.7  公里 (位於屏東縣新園鄉)(屏東縣新園鄉),2
188,2012/2/7 16:27,120.44,22.48,2.9,27.2,高雄市政府東南方  20.3  公里 (位於屏東縣新園鄉)(屏東縣新園鄉),2
187,2012/2/8 05:27,120.37,22.43,5.4,40.7,高雄市政府南偏東方  22.1  公里 (位於屏東縣近海)(屏東縣近海),2
小區域有感地震,2012/2/8 07:34,120.54,23.57,2.7,5,嘉義市政府東北方  13.2  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉),3
小區域有感地震,2012/2/9 08:32,121,24.52,2.9,6.8,苗栗縣政府東偏南方  18.7  公里 (位於苗栗縣南庄鄉)(苗栗縣南庄鄉),5
小區域有感地震,2012/2/9 17:16,120.73,23.85,2.6,23.2,南投縣政府東南方  6.5  公里 (位於南投縣集集鎮)(南投縣集集鎮),2
186,2012/2/11 09:13,120.54,23.57,3.5,5.5,嘉義市政府東北方  12.9  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉),2
小區域有感地震,2012/2/13 05:49,120.91,23.67,3.6,13.2,南投縣政府東南方  34.2  公里 (位於南投縣信義鄉)(南投縣信義鄉),2
小區域有感地震,2012/2/13 09:17,120.76,23.87,3,27.1,南投縣政府東偏南方  7.5  公里 (位於南投縣中寮鄉)(南投縣中寮鄉),2
185,2012/2/14 06:53,122.45,24.42,5.3,78.8,宜蘭縣政府東偏南方  77.7  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/2/14 13:08,121.71,24.34,3.8,31.2,花蓮縣政府北偏東方  40.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),2
小區域有感地震,2012/2/15 01:05,121.49,24.4,2.4,5.1,宜蘭縣政府西南方  46.3  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),3
184,2012/2/15 10:33,120.63,24.37,3.5,25.2,台中市政府北偏西方  25.6  公里 (位於台中市大甲區)(台中市大甲區),2
小區域有感地震,2012/2/17 10:54,120.84,22.87,3.4,6.5,台東縣政府西偏北方  34.2  公里 (位於高雄市茂林區)(高雄市茂林區),2
183,2012/2/17 17:19,121.49,24.4,3.8,6.1,宜蘭縣政府西南方  45.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),3
182,2012/2/18 01:33,121.5,24.06,4.3,23.7,花蓮縣政府西偏北方  14.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),4
181,2012/2/18 18:44,121.03,23.94,4.5,21.1,南投縣政府東方  35.1  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉),4
小區域有感地震,2012/2/19 07:47,121.6,22.02,3.3,23.5,台東縣政府南偏東方  93.9  公里 (位於台灣東部海域)(台灣東部海域),2
180,2012/2/20 02:59,121.63,24.94,4.2,87.4,台北市政府東南方  12.8  公里 (位於新北市石碇區)(新北市石碇區),1
小區域有感地震,2012/2/20 16:36,120.94,24.71,2.8,9.8,新竹市政府南偏西方  11.4  公里 (位於苗栗縣頭份鎮)(苗栗縣頭份鎮),3
小區域有感地震,2012/2/21 02:29,121.44,24.31,2.8,6.1,花蓮縣政府北偏西方  40.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2012/2/23 00:07,121.01,22.68,3.4,6.5,台東縣政府西偏南方  16.2  公里 (位於台東縣太麻里鄉)(台東縣太麻里鄉),3
小區域有感地震,2012/2/23 11:30,121.49,23.99,2.8,18.9,花蓮縣政府西方  12.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),1
小區域有感地震,2012/2/23 13:01,121.5,23.99,2.7,19.7,花蓮縣政府西方  12.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),1
小區域有感地震,2012/2/23 13:49,121.32,23.27,3.7,20.1,台東縣政府北偏東方  59.8  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉),1
小區域有感地震,2012/2/24 02:54,121.83,24.53,3.7,69.1,宜蘭縣政府南偏東方  22.9  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),2
小區域有感地震,2012/2/24 11:52,121.63,23.99,2.9,23.4,花蓮縣政府東偏南方  .8  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/2/24 12:10,121.68,23.64,3.9,48,花蓮縣政府南方  39.7  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/2/24 12:13,121.49,24.37,3.1,4.9,花蓮縣政府北偏西方  43.7  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),3
小區域有感地震,2012/2/24 12:13,121.73,24.13,3.4,10.9,花蓮縣政府東北方  19.3  公里 (位於花蓮縣近海)(花蓮縣近海),1
200,2012/2/24 12:14,121.01,22.61,4,7.6,台東縣政府西南方  21.7  公里 (位於台東縣近海)(台東縣近海),2
199,2012/2/24 12:15,121.29,22.69,5,88.2,台東縣政府東偏南方  16.3  公里 (位於台灣東部海域)(台灣東部海域),3
198,2012/2/24 12:18,120.65,23.39,4,11.4,嘉義市政府東偏南方  22.1  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉),2
小區域有感地震,2012/2/24 12:22,120.99,22.9,3,7.8,台東縣政府西北方  23.3  公里 (位於台東縣延平鄉)(台東縣延平鄉),5
小區域有感地震,2012/2/24 17:51,121.64,23.94,3.4,30.4,花蓮縣政府南偏東方  5.8  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/2/24 19:17,121.81,24.31,3,19.8,花蓮縣政府北偏東方  40.8  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2012/2/24 22:23,121.81,24.32,2.8,18.5,花蓮縣政府北偏東方  41.0  公里 (位於宜蘭縣近海)(宜蘭縣近海),3
小區域有感地震,2012/2/24 22:56,121.81,24.32,3.3,18.5,花蓮縣政府北偏東方  41.1  公里 (位於宜蘭縣近海)(宜蘭縣近海),2
小區域有感地震,2012/2/25 13:54,121.95,23.73,3.8,33.7,花蓮縣政府東南方  44.4  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/2/26 10:35,120.62,22.91,3.5,11.5,屏東縣政府北偏東方  28.1  公里 (位於高雄市六龜區)(高雄市六龜區),2
小區域有感地震,2012/2/26 10:41,121.82,23.83,4,35.9,花蓮縣政府東南方  27.2  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/2/26 10:43,121.66,23.96,2.4,3.3,花蓮縣政府東南方  5.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/2/26 13:07,122.32,24.01,5,21.6,花蓮縣政府東方  70.9  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/2/26 16:25,120.44,23.8,3.1,21.6,雲林縣政府西北方  14.2  公里 (位於雲林縣西螺鎮)(雲林縣西螺鎮),4
小區域有感地震,2012/2/27 16:54,121.58,22.9,3.7,21.7,台東縣政府東偏北方  46.8  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/2/27 20:15,120.48,23.52,2.7,12.9,嘉義市政府東北方  4.9  公里 (位於嘉義縣民雄鄉)(嘉義縣民雄鄉),1
197,2012/2/28 08:07,121.36,22.47,5.4,26.9,台東縣政府東南方  38.2  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/2/28 14:03,122.04,24.35,3.7,21.3,宜蘭縣政府東南方  50.8  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/2/29 08:19,121.79,24.01,3.5,31.2,花蓮縣政府東方  17.5  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/2/29 19:07,120.85,22.87,3.5,5.3,台東縣政府西偏北方  33.6  公里 (位於高雄市茂林區)(高雄市茂林區),3
小區域有感地震,2012/3/1 00:58,121.5,24.37,3.2,9.8,花蓮縣政府北偏西方  43.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),1
小區域有感地震,2012/3/1 01:45,119.57,23.95,3.8,25.2,澎湖縣政府北方  42.1  公里 (位於台灣西部海域)(台灣西部海域),2
196,2012/3/1 01:50,121.49,24.39,3.8,5.6,花蓮縣政府北偏西方  46.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),4
小區域有感地震,2012/3/1 02:07,120.93,22.9,3.5,6.9,台東縣政府西偏北方  27.6  公里 (位於台東縣延平鄉)(台東縣延平鄉),2
小區域有感地震,2012/3/1 02:14,121.48,24.37,3.2,8.2,花蓮縣政府北偏西方  44.2  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),2
195,2012/3/1 02:39,121.6,21.95,3.9,15.2,台東縣政府南偏東方  100.5  公里 (位於台灣東南部海域)(台灣東南部海域),4
小區域有感地震,2012/3/1 09:41,121.77,24.2,3.6,13.2,花蓮縣政府東北方  27.3  公里 (位於台灣東部海域)(台灣東部海域),3
194,2012/3/1 10:45,121.64,23.34,4,26.6,花蓮縣政府南方  72.0  公里 (位於台灣東部海域)(台灣東部海域),3
193,2012/3/1 13:01,120.87,22.64,4.1,7.2,台東縣政府西偏南方  31.8  公里 (位於台東縣金峰鄉)(台東縣金峰鄉),1
小區域有感地震,2012/3/1 21:24,121.48,23.93,2.2,14,花蓮縣政府西偏南方  15.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2012/3/2 01:47,121.47,24,2.9,23.1,花蓮縣政府西方  14.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),1
