編號,地震時間,經度,緯度,規模,深度,位置,震度
小區域有感地震,2013/9/21 22:34,122.39,24.9,4.5,15.5,宜蘭縣政府東偏北方  65.7  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2013/9/22 00:26,121.51,24.04,2.9,18.3,花蓮縣政府西偏北方  12.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2013/9/24 23:04,121.77,24.29,2.7,14.1,花蓮縣政府北偏東方  36.8  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2013/9/25 07:13,121.33,23.07,3.4,19.1,臺東縣政府北偏東方  39.7  公里 (位於臺東縣成功鎮)(臺東縣成功鎮),2
72,2013/9/25 08:21,121.84,24.79,3.6,71.4,宜蘭縣政府東北方  10.4  公里 (位於宜蘭縣近海)(宜蘭縣近海),1
小區域有感地震,2013/9/25 23:54,120.64,23.54,3.3,9.1,嘉義市政府東偏北方  20.1  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉),2
71,2013/9/26 04:50,121.52,24.09,3.8,19.9,花蓮縣政府西北方  14.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2013/9/28 14:14,121.62,23.89,3.7,42.1,花蓮縣政府南方  10.7  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2013/9/29 13:49,120.75,23.16,2.5,6.9,嘉義市政府東南方  47.3  公里 (位於高雄市桃源區)(高雄市桃源區),2
小區域有感地震,2013/9/30 03:50,121.77,24.29,2.8,14.8,花蓮縣政府北偏東方  36.7  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2013/9/30 16:23,121.77,24.28,3.1,13.5,花蓮縣政府北偏東方  35.7  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2013/9/30 20:05,121.78,24.27,2.6,13.7,花蓮縣政府北偏東方  35.1  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2013/10/3 14:28,121.78,24.28,3,13.7,花蓮縣政府北偏東方  35.3  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2013/10/3 19:18,121.42,23.75,3.2,18.1,花蓮縣政府西南方  34.0  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮),2
70,2013/10/3 22:44,121.76,24.27,3.5,12.9,花蓮縣政府北偏東方  33.4  公里 (位於花蓮縣近海)(花蓮縣近海),3
69,2013/10/5 21:05,123.69,23.33,6.1,53.1,花蓮縣政府東偏南方  223.2  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/10/8 06:49,121.97,24.43,3.7,14,宜蘭縣政府東南方  39.4  公里 (位於臺灣東部海域)(臺灣東部海域),1
68,2013/10/8 23:30,121.77,24.28,3.5,14.6,花蓮縣政府北偏東方  35.9  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2013/10/9 05:07,121.77,24.28,3.4,14,花蓮縣政府北偏東方  35.5  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2013/10/10 12:14,121.75,24.28,2.6,12.7,花蓮縣政府北偏東方  34.3  公里 (位於花蓮縣近海)(花蓮縣近海),2
67,2013/10/10 19:23,121.76,24.28,3.6,13,花蓮縣政府北偏東方  34.5  公里 (位於花蓮縣近海)(花蓮縣近海),2
66,2013/10/11 12:45,121.77,24.28,4,14.3,花蓮縣政府北偏東方  35.5  公里 (位於花蓮縣近海)(花蓮縣近海),2
65,2013/10/11 23:17,121.76,24.28,3.4,13,花蓮縣政府北偏東方  35.3  公里 (位於花蓮縣近海)(花蓮縣近海),4
小區域有感地震,2013/10/12 11:34,121.76,24.28,3.1,12.6,花蓮縣政府北偏東方  34.6  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2013/10/12 17:12,121.76,24.28,3,13.9,花蓮縣政府北偏東方  35.6  公里 (位於花蓮縣近海)(花蓮縣近海),2
64,2013/10/12 21:31,121.77,24.28,4.9,14.5,花蓮縣政府北偏東方  35.4  公里 (位於花蓮縣近海)(花蓮縣近海),3
63,2013/10/13 21:08,121.77,24.28,3.9,13.8,花蓮縣政府北偏東方  35.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
62,2013/10/14 01:20,121.47,23.93,3.5,18.1,花蓮縣政府西偏南方  17.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/10/14 20:54,121.76,24.27,2.5,13.5,花蓮縣政府北偏東方  34.3  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2013/10/15 13:42,121.76,24.28,2.7,13.9,花蓮縣政府北偏東方  34.9  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2013/10/15 15:25,121.75,24.28,2.8,13.8,花蓮縣政府北偏東方  34.7  公里 (位於花蓮縣近海)(花蓮縣近海),3
61,2013/10/15 21:22,121.66,24.37,4.4,58.9,宜蘭縣政府南偏西方  41.3  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),2
60,2013/10/19 16:13,120.43,23.25,3.8,13.3,嘉義市政府南方  26.1  公里 (位於臺南市東山區)(臺南市東山區),3
小區域有感地震,2013/10/19 17:00,121.75,24.27,2.5,13.6,花蓮縣政府北偏東方  34.3  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2013/10/19 17:05,121.01,24,3.8,16.9,南投縣政府東偏北方  34.4  公里 (位於南投縣埔里鎮)(南投縣埔里鎮),4
小區域有感地震,2013/10/20 01:59,121,24,3.4,16.6,南投縣政府東偏北方  33.8  公里 (位於南投縣埔里鎮)(南投縣埔里鎮),2
小區域有感地震,2013/10/22 03:38,121.01,24,4.1,16.3,南投縣政府東偏北方  34.0  公里 (位於南投縣埔里鎮)(南投縣埔里鎮),1
小區域有感地震,2013/10/22 09:59,121,23.99,3.9,16.3,南投縣政府東偏北方  33.3  公里 (位於南投縣埔里鎮)(南投縣埔里鎮),1
小區域有感地震,2013/10/22 20:08,120.02,22.37,2.9,35.3,高雄市政府西南方  40.7  公里 (位於臺灣西部海域)(臺灣西部海域),2
84,2013/10/25 12:43,122.24,24.03,5.7,19.8,花蓮縣政府東方  63.1  公里 (位於臺灣東部海域)(臺灣東部海域),1
83,2013/10/25 19:49,121.83,24.42,3.5,12,宜蘭縣政府南偏東方  35.6  公里 (位於宜蘭縣近海)(宜蘭縣近海),3
小區域有感地震,2013/10/26 02:01,121.4,22.2,3.8,21,臺東縣政府南偏東方  66.7  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/10/26 09:29,120.96,23.21,3.4,6,臺東縣政府北偏西方  54.1  公里 (位於臺東縣海端鄉)(臺東縣海端鄉),2
